field_id,year,month,mean_temp,total_precip,temp_mean,temp_std,precip_mean,precip_std,temp_deviation,precip_deviation,temp_anomaly,precip_anomaly
osm-1153259427,2021,4,15.347333333333333,27.82,15.789333333333332,0.6572008402645604,100.47,59.229597331064134,-0.6725493531354411,-1.226582709889491,False,False
osm-1153259427,2021,5,20.169032258064515,57.32,20.294709677419355,1.5856989746775536,114.46399999999998,67.9691152656852,-0.0792567954963812,-0.840734792215982,False,False
osm-1153259427,2021,6,24.625999999999998,119.61999999999999,24.849733333333333,1.4733593210377727,81.92,38.79317401296264,-0.1518525251367378,0.9718204544800235,False,False
osm-1153259427,2021,7,26.85451612903226,98.8,27.469935483870966,0.3807435220099605,124.68800000000002,47.83937102429337,-1.6163619845450905,-0.5411442384318514,False,False
osm-1153259427,2021,8,26.67258064516129,109.2,26.285741935483873,0.7994856371937415,125.388,40.23181974507243,0.48385948625074887,-0.4023680783661967,False,False
osm-1153259427,2021,9,22.926,55.08,22.625466666666664,0.6490889170385069,116.91199999999999,71.95761439903355,0.46300795691371355,-0.859283628513822,False,False
osm-1153259427,2021,10,19.095161290322583,35.51,17.202709677419357,1.4665949719177855,35.118,25.480752932360534,1.2903709948143156,0.015384160783653934,False,False
osm-1153259427,2021,11,9.560333333333334,22.75,11.609933333333334,1.4018774791923392,77.832,48.05109072643408,-1.4620393225667851,-1.146321533336142,False,False
osm-1153259427,2021,12,10.867096774193548,64.5,7.143032258064517,2.3053451395135776,102.63399999999999,42.42467065281709,1.6154043280976143,-0.8988637840484404,False,False
osm-1153259427,2022,1,3.5561290322580645,104.36999999999999,5.871806451612903,1.8468121928757188,134.198,28.855141136372918,-1.2538781302656647,-1.0337152696300895,False,False
osm-1153259427,2022,2,7.975357142857143,63.69,8.156512315270936,1.8815470732678814,95.598,47.58336022182545,-0.09627990444010612,-0.6705705492687021,False,False
osm-1153259427,2022,3,12.331612903225805,127.67,12.366,0.8287641903742093,106.022,32.82004524676955,-0.04149201567054665,0.6595968968729801,False,False
osm-1153259427,2022,4,15.498666666666667,118.83999999999999,15.789333333333332,0.6572008402645604,100.47,59.229597331064134,-0.4422798159382376,0.3101489935398477,False,False
osm-1153259427,2022,5,21.90225806451613,80.28,20.294709677419355,1.5856989746775536,114.46399999999998,67.9691152656852,1.0137790417778778,-0.5029343087132704,False,False
osm-1153259427,2022,6,26.436666666666667,46.339999999999996,24.849733333333333,1.4733593210377727,81.92,38.79317401296264,1.0770850740032412,-0.9171716649973276,False,False
osm-1153259427,2022,7,27.69741935483871,156.03,27.469935483870966,0.3807435220099605,124.68800000000002,47.83937102429337,0.5974727285361253,0.6551507540532706,False,False
osm-1153259427,2022,8,26.096774193548388,72.94,26.285741935483873,0.7994856371937415,125.388,40.23181974507243,-0.23636164696939052,-1.303644735245261,False,False
osm-1153259427,2022,9,22.683,121.2,22.625466666666664,0.6490889170385069,116.91199999999999,71.95761439903355,0.08863706007465584,0.059590635901592685,False,False
osm-1153259427,2022,10,15.20741935483871,23.560000000000002,17.202709677419357,1.4665949719177855,35.118,25.480752932360534,-1.360491724563542,-0.45359727126906635,False,False
osm-1153259427,2022,11,12.034666666666668,126.77000000000001,11.609933333333334,1.4018774791923392,77.832,48.05109072643408,0.3029746462422913,1.0184576304129143,False,False
osm-1153259427,2022,12,5.496774193548387,96.06,7.143032258064517,2.3053451395135776,102.63399999999999,42.42467065281709,-0.7141048150662102,-0.1549570072988523,False,False
osm-1153259427,2023,1,8.067096774193548,138.07999999999998,5.871806451612903,1.8468121928757188,134.198,28.855141136372918,1.1886916986195015,0.1345340846420806,False,False
osm-1153259427,2023,2,10.922857142857143,84.15,8.156512315270936,1.8815470732678814,95.598,47.58336022182545,1.4702501292096852,-0.24058830537884218,False,False
osm-1153259427,2023,3,11.396451612903226,74.03,12.366,0.8287641903742093,106.022,32.82004524676955,-1.1698724418329376,-0.974770136953085,False,False
osm-1153259427,2023,4,16.014,169.34,15.789333333333332,0.6572008402645604,100.47,59.229597331064134,0.3418538944293295,1.1627632653831967,False,False
osm-1153259427,2023,5,18.794193548387096,63.82,20.294709677419355,1.5856989746775536,114.46399999999998,67.9691152656852,-0.9462805696379948,-0.7451031222348137,False,False
osm-1153259427,2023,6,23.202,124.99,24.849733333333333,1.4733593210377727,81.92,38.79317401296264,-1.1183513144456416,1.110246869348929,False,False
