mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
2433097,"Enon fine sandy loam, 2 to 6 percent slopes",Picture,1.0,Poorly drained,18.0,79.0,0.25,6.7,0.16,45.0,26.1,28.9,1.35,23.1,osm-260949778
2433099,"Enon fine sandy loam, 6 to 10 percent slopes",Cecil,1.0,Well drained,20.0,107.0,0.25,5.0,0.14,52.5,37.0,10.5,1.4,5.8,osm-260949778
811328,"Wagram loamy sand, 0 to 6 percent slopes",Wagram,90.0,Well drained,0.0,20.0,1.25,5.3,0.07,6.0,77.7,16.3,1.68,3.4,osm-1133139440
811328,"Wagram loamy sand, 0 to 6 percent slopes",Wagram,90.0,Well drained,20.0,61.0,0.5,5.3,0.07,6.0,77.7,16.3,1.68,1.7,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Goldsboro,85.0,Moderately well drained,0.0,23.0,1.5,4.7,0.12,6.0,83.0,11.0,1.55,,osm-1133139440
811283,Johnston loam,Johnston,85.0,Very poorly drained,0.0,76.0,11.5,5.0,0.23,12.5,45.7,41.8,1.35,29.0,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Goldsboro,85.0,Moderately well drained,23.0,30.0,0.25,4.7,0.09,4.0,85.0,11.0,1.6,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Norfolk,83.0,Well drained,0.0,20.0,1.5,4.5,0.12,8.0,83.0,9.0,1.55,,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Norfolk,83.0,Well drained,0.0,20.0,1.5,4.5,0.12,7.0,82.0,11.0,1.54,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Norfolk,83.0,Well drained,20.0,36.0,0.5,4.5,0.08,8.0,83.0,9.0,1.61,,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Norfolk,83.0,Well drained,20.0,36.0,0.5,4.5,0.08,7.0,82.0,11.0,1.62,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Rains,58.0,Poorly drained,0.0,15.0,3.5,5.1,0.13,12.0,71.0,17.0,1.44,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Rains,58.0,Poorly drained,15.0,30.0,0.75,5.1,0.15,12.0,71.0,17.0,1.61,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Rains,24.0,Poorly drained,0.0,15.0,3.5,5.1,0.13,12.0,71.0,17.0,1.44,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Rains,24.0,Poorly drained,15.0,30.0,0.75,5.1,0.15,12.0,71.0,17.0,1.61,,osm-1133139440
811283,Johnston loam,Johnston,15.0,Very poorly drained,0.0,76.0,11.5,5.0,0.23,12.5,45.7,41.8,1.35,29.0,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Wagram,10.0,Well drained,0.0,20.0,1.25,5.3,0.07,8.0,83.0,9.0,1.58,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Lynchburg,10.0,Somewhat poorly drained,0.0,23.0,2.75,4.7,0.14,11.0,61.0,28.0,1.54,,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Wagram,10.0,Well drained,20.0,61.0,0.5,5.3,0.07,8.0,83.0,9.0,1.66,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Lynchburg,10.0,Somewhat poorly drained,23.0,36.0,0.25,4.7,0.14,8.0,75.0,17.0,1.57,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Goldsboro,9.0,Moderately well drained,0.0,25.0,1.5,4.7,0.12,8.0,83.0,9.0,1.55,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Goldsboro,9.0,Moderately well drained,25.0,157.0,0.25,4.7,0.14,23.0,60.0,17.0,1.65,,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Norfolk,8.0,Well drained,0.0,23.0,1.5,4.5,0.12,6.0,83.0,11.0,1.55,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Wagram,8.0,Well drained,0.0,20.0,1.25,5.3,0.07,7.0,83.0,10.0,1.6,,osm-1133139440
811301,"Rains sandy loam, 0 to 2 percent slopes",Pantego,8.0,Very poorly drained,0.0,46.0,7.0,4.5,0.2,10.0,50.0,40.0,1.38,,osm-1133139440
811296,"Norfolk loamy sand, 0 to 2 percent slopes",Wagram,8.0,Well drained,20.0,61.0,0.5,5.3,0.07,7.0,80.0,13.0,1.66,,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Norfolk,8.0,Well drained,23.0,38.0,0.5,4.5,0.08,6.0,83.0,11.0,1.6,,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Lynchburg,7.0,Somewhat poorly drained,0.0,23.0,2.75,4.7,0.14,6.0,83.0,11.0,1.56,,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Goldsboro,7.0,Moderately well drained,0.0,25.0,1.5,4.7,0.12,7.0,82.0,11.0,1.56,,osm-1133139440
811280,"Goldsboro loamy sand, 0 to 2 percent slopes, Southern Coastal Plain",Lynchburg,7.0,Somewhat poorly drained,23.0,36.0,0.25,4.7,0.12,6.0,83.0,11.0,1.62,,osm-1133139440
811297,"Norfolk loamy sand, 2 to 6 percent slopes",Goldsboro,7.0,Moderately well drained,25.0,157.0,0.25,4.7,0.14,23.0,60.0,17.0,1.65,,osm-1133139440
811328,"Wagram loamy sand, 0 to 6 percent slopes",Bibb,3.0,Poorly drained,0.0,15.0,2.0,4.6,0.12,10.0,81.1,8.9,1.53,7.0,osm-1133139440
811328,"Wagram loamy sand, 0 to 6 percent slopes",Bibb,3.0,Poorly drained,15.0,152.0,2.0,4.6,0.12,10.0,66.9,23.1,1.53,7.0,osm-1133139440
811328,"Wagram loamy sand, 0 to 6 percent slopes",Johnston,2.0,Very poorly drained,0.0,76.0,11.5,5.0,0.23,12.5,45.7,41.8,1.35,29.0,osm-1133139440
2424295,"Lloyd clay loam, 2 to 6 percent slopes, moderately eroded",Lloyd,90.0,Well drained,0.0,18.0,1.25,6.4,0.14,30.0,33.5,36.5,1.45,5.8,osm-1435108796
2424296,"Lloyd clay loam, 6 to 10 percent slopes, moderately eroded",Lloyd,90.0,Well drained,0.0,18.0,1.25,6.4,0.14,30.0,33.5,36.5,1.45,5.8,osm-1435108796
2424295,"Lloyd clay loam, 2 to 6 percent slopes, moderately eroded",Lloyd,90.0,Well drained,18.0,147.0,0.25,5.4,0.14,55.0,17.1,27.9,1.38,6.1,osm-1435108796
2424296,"Lloyd clay loam, 6 to 10 percent slopes, moderately eroded",Lloyd,90.0,Well drained,18.0,147.0,0.25,5.4,0.14,55.0,17.1,27.9,1.38,6.1,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Hiwassee,85.0,Well drained,0.0,15.0,1.25,6.1,0.14,16.6,67.5,15.9,1.45,4.2,osm-1435108796
2424376,"Mecklenburg clay loam, 2 to 8 percent slopes, moderately eroded",Mecklenburg,85.0,Well drained,0.0,18.0,0.75,6.5,0.13,30.0,33.5,36.5,1.5,12.2,osm-1435108796
2424382,"Iredell loam, 2 to 6 percent slopes",Iredell,85.0,Moderately well drained,0.0,15.0,1.25,6.2,0.16,25.0,38.5,36.5,1.3,15.3,osm-1435108796
2424291,"Hiwassee fine sandy loam, 2 to 6 percent slopes",Hiwassee,85.0,Well drained,15.0,188.0,0.25,5.7,0.14,46.0,32.0,22.0,1.38,5.5,osm-1435108796
2424382,"Iredell loam, 2 to 6 percent slopes",Iredell,85.0,Moderately well drained,15.0,64.0,0.25,6.4,0.19,50.0,22.1,27.9,1.33,25.6,osm-1435108796
2424376,"Mecklenburg clay loam, 2 to 8 percent slopes, moderately eroded",Mecklenburg,85.0,Well drained,18.0,76.0,0.25,6.5,0.13,50.0,22.1,27.9,1.5,18.1,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Iredell,80.0,Moderately well drained,0.0,15.0,1.25,6.2,0.16,25.0,38.5,36.5,1.3,15.3,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Iredell,80.0,Moderately well drained,15.0,64.0,0.25,6.5,0.19,50.0,22.1,27.9,1.33,25.6,osm-1435108796
2424909,"Udorthents-Urban land complex, 0 to 45 percent slopes",Udorthents,55.0,Well drained,0.0,203.0,0.5,6.2,0.14,30.0,55.5,14.5,1.48,8.6,osm-1435108796
2424909,"Udorthents-Urban land complex, 0 to 45 percent slopes",Urban land,45.0,,,,,,,,,,,,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Poindexter,45.0,Well drained,0.0,8.0,2.0,6.8,0.16,14.0,44.8,41.2,1.35,9.4,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Poindexter,45.0,Well drained,8.0,18.0,1.0,6.2,0.16,14.0,44.8,41.2,1.35,7.2,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Poindexter,45.0,Well drained,18.0,66.0,0.25,5.8,0.16,26.5,55.8,17.7,1.4,9.4,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Rowan,40.0,Well drained,0.0,5.0,2.0,5.4,0.15,14.0,44.8,41.2,1.43,9.4,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Rowan,40.0,Well drained,5.0,23.0,1.0,5.4,0.15,14.0,44.8,41.2,1.43,7.2,osm-1435108796
2424386,"Poindexter-Rowan complex, 8 to 15 percent slopes",Rowan,40.0,Well drained,23.0,74.0,0.25,5.8,0.18,26.5,55.8,17.7,1.43,9.8,osm-1435108796
2424382,"Iredell loam, 2 to 6 percent slopes",Sedgefield,10.0,Moderately well drained,0.0,20.0,1.25,5.8,0.13,14.0,66.1,19.9,1.5,9.5,osm-1435108796
2424384,"Iredell loam, 6 to 10 percent slopes",Sedgefield,10.0,Moderately well drained,0.0,20.0,1.25,5.8,0.13,14.0,66.1,19.9,1.5,9.5,osm-1435108796
